query_id,k,answer_type,num_variants,expected_pages,recall_at_k,precision_at_k,mrr_at_k,top_pages
Q_DEF_2023_01,1,number,2,[21],0.0,0.0,0.0,[22]
Q_DEF_2023_01,3,number,2,[21],1.0,0.5,0.5,"[22, 21]"
Q_DEF_2023_01,5,number,2,[21],1.0,0.3333333333333333,0.5,"[22, 21, 148]"
Q_DEF_2023_01,10,number,2,[21],1.0,0.16666666666666666,0.5,"[22, 21, 148, 26, 92, 35]"
Q_REV_2023_01,1,number,1,[28],1.0,1.0,1.0,[28]
Q_REV_2023_01,3,number,1,[28],1.0,0.3333333333333333,1.0,"[28, 25, 78]"
Q_REV_2023_01,5,number,1,[28],1.0,0.2,1.0,"[28, 25, 78, 27, 79]"
Q_REV_2023_01,10,number,1,[28],1.0,0.125,1.0,"[28, 25, 78, 27, 79, 148, 115, 5]"
Q_DEF_2023_02,1,text,1,[82],1.0,1.0,1.0,[82]
Q_DEF_2023_02,3,text,1,[82],1.0,0.3333333333333333,1.0,"[82, 84, 55]"
Q_DEF_2023_02,5,text,1,[82],1.0,0.25,1.0,"[82, 84, 55, 46]"
Q_DEF_2023_02,10,text,1,[82],1.0,0.125,1.0,"[82, 84, 55, 46, 115, 81, 83, 38]"
Q_ACC_2023_01,1,text,1,[73],0.0,0.0,0.0,[6]
Q_ACC_2023_01,3,text,1,[73],1.0,0.5,0.5,"[6, 73]"
Q_ACC_2023_01,5,text,1,[73],1.0,0.25,0.5,"[6, 73, 72, 77]"
Q_ACC_2023_01,10,text,1,[73],1.0,0.16666666666666666,0.5,"[6, 73, 72, 77, 62, 2]"
Q_ACC_2023_02,1,number,1,[73],0.0,0.0,0.0,[10]
Q_ACC_2023_02,3,number,1,[73],0.0,0.0,0.0,"[10, 72, 5]"
Q_ACC_2023_02,5,number,1,[73],0.0,0.0,0.0,"[10, 72, 5, 29, 31]"
Q_ACC_2023_02,10,number,1,[73],0.0,0.0,0.0,"[10, 72, 5, 29, 31, 11, 78, 30, 32, 3]"
Q_ACC_2023_03,1,number,1,[73],1.0,1.0,1.0,[73]
Q_ACC_2023_03,3,number,1,[73],1.0,0.3333333333333333,1.0,"[73, 29, 10]"
Q_ACC_2023_03,5,number,1,[73],1.0,0.2,1.0,"[73, 29, 10, 77, 78]"
Q_ACC_2023_03,10,number,1,[73],1.0,0.1,1.0,"[73, 29, 10, 77, 78, 25, 79, 3, 30, 11]"
Q_ACC_2023_04,1,number,1,[73],1.0,1.0,1.0,[73]
Q_ACC_2023_04,3,number,1,[73],1.0,0.3333333333333333,1.0,"[73, 30, 60]"
Q_ACC_2023_04,5,number,1,[73],1.0,0.2,1.0,"[73, 30, 60, 78, 77]"
Q_ACC_2023_04,10,number,1,[73],1.0,0.14285714285714285,1.0,"[73, 30, 60, 78, 77, 72, 29]"
Q_ACC_2023_05,1,text,2,[72],0.0,0.0,0.0,[75]
Q_ACC_2023_05,3,text,2,[72],0.0,0.0,0.0,"[75, 66]"
Q_ACC_2023_05,5,text,2,[72],0.0,0.0,0.0,"[75, 66, 70, 65]"
Q_ACC_2023_05,10,text,2,[72],0.0,0.0,0.0,"[75, 66, 70, 65, 68, 2, 79, 44, 71]"
Q_ACC_2023_06,1,text,1,[72],1.0,1.0,1.0,[72]
Q_ACC_2023_06,3,text,1,[72],1.0,0.3333333333333333,1.0,"[72, 43, 36]"
Q_ACC_2023_06,5,text,1,[72],1.0,0.25,1.0,"[72, 43, 36, 60]"
Q_ACC_2023_06,10,text,1,[72],1.0,0.125,1.0,"[72, 43, 36, 60, 44, 42, 48, 50]"
Q_ACC_2023_07,1,list,1,[72],0.0,0.0,0.0,[6]
Q_ACC_2023_07,3,list,1,[72],0.0,0.0,0.0,"[6, 51]"
Q_ACC_2023_07,5,list,1,[72],1.0,0.3333333333333333,0.3333333333333333,"[6, 51, 72]"
Q_ACC_2023_07,10,list,1,[72],1.0,0.125,0.3333333333333333,"[6, 51, 72, 73, 67, 8, 7, 49]"
Q_ACC_2023_08,1,text,1,[72],0.0,0.0,0.0,[73]
Q_ACC_2023_08,3,text,1,[72],1.0,0.5,0.5,"[73, 72]"
Q_ACC_2023_08,5,text,1,[72],1.0,0.25,0.5,"[73, 72, 6, 78]"
Q_ACC_2023_08,10,text,1,[72],1.0,0.16666666666666666,0.5,"[73, 72, 6, 78, 74, 60]"
