level,title_raw,title_norm,start_printed_page,start_pdf_page,confidence
1,Performance Report,performance report,1,3,0.7
2,a) Corporate Governance Report,a corporate governance report,34,36,0.7
3,i) Directors’ Report,i directors' report,38,40,0.7
3,ii) Statement of Chief Executive’s responsibilities as the Accountable Officer of the Health Board,ii statement of chief executive's responsibilities as the accountable officer of the health board,39,41,0.7
3,iii) Statement of Health Board Members’ Responsibilities in respect of the Accounts,iii statement of health board members' responsibilities in respect of the accounts,40,42,0.7
2,b) Remuneration and Staff Report,b remuneration and staff report,63,65,0.7
3,i) Remuneration Report,i remuneration report,67,69,0.7
3,ii) Staff Report,ii staff report,72,74,0.7
1,Accountability Report,accountability report,73,75,0.7
1,Financial Statements,financial statements,77,79,0.7
2,Consolidated Statement of Comprehensive Net Expenditure,consolidated statement of comprehensive net expenditure,79,81,0.7
2,Consolidated Statement of Financial Position,consolidated statement of financial position,81,83,0.7
2,Consolidated Cash Flow Statement,consolidated cash flow statement,83,85,0.7
2,Consolidated Statement of Changes in Taxpayer’s Equity,consolidated statement of changes in taxpayer's equity,84,86,0.7
2,Notes to the Accounts,notes to the accounts,130,132,0.7
