doc_id,query_id,question,expected_answer,answer_type,difficulty
Grampian-2020-2021,Q_2021_GOV_03,What was the Non-Core Revenue Resource Limit for 2020/21?,"£32,340 (£000)",number,LEX
Grampian-2020-2021,Q_2021_CAP_02,How much capital funding from SGHSCD was used for infrastructure investment in 2020/21?,£43.316 million,number,LEX
Grampian-2020-2021,Q_2021_IJB_07,How much did NHS Grampian contribute to Integration Joint Board expenditure in 2020/21?,Expenditure of £637.088 million passed to IJBs,number,LEX
Grampian-2020-2021,Q_2021_IJB_03,What surplus did Aberdeenshire IJB report for 2020/21?,£20.449 million,number,LEX
Grampian-2020-2021,Q_2021_IJB_01,What was the net financial position of Aberdeen City IJB at the end of 2020/21?,£15.634 million,number,MOD
Grampian-2020-2021,Q_2021_SAV_P2,What were the primary sources of efficiency savings achieved in 2020/21?,Mainly from reduction in the use of agency medical and nursing staff compared to 2019/20,text,MOD
Grampian-2020-2021,Q_2021_GOV_01,What are the three statutory financial targets NHS Boards must meet according to the 2020/21 annual report?,Revenue Resource Limit; Capital Resource Limit; Cash Requirement,text,STR
Grampian-2020-2021,Q_2021_IJB_06,What were Moray IJB's retained reserves carried forward from 2020/21?,£6.342 million,number,LEX
Grampian-2020-2021,Q_2021_IJB_P1,Which of the three Grampian IJBs reported the largest financial surplus in 2020/21?,Aberdeenshire IJB with a surplus of £20.449 million,text,STR
Grampian-2020-2021,Q_2021_COV_03,How much did Independent Primary Care Services costs increase in 2020/21 due to COVID-19?,£8.6 million,number,LEX
Grampian-2021-2022,Q_2022_GOV_P1,Which three operational phases did NHS Grampian implement in response to COVID-19 across 2020-2022?,"Operation Rainbow (April–May 2020), Operation Snowdrop (January–March 2021), Operation Iris (December–March 2022)",text,STR
Grampian-2021-2022,Q_2022_SAV_P2,What were the main sources of efficiency savings in 2021/22?,"Successful recruitment into medical and nursing vacancies previously filled by agency staff, transfer of agency staff to direct engagement contracts, increased use of biosimilar drugs, savings in non-clinical areas",text,MOD
Grampian-2021-2022,Q_2022_IJB_05,What surplus did Moray IJB report for 2021/22?,£10.679 million,number,LEX
Grampian-2021-2022,Q_2022_FIN_01,What ceiling did the Scottish Government place on NHS Grampian's core operational spending for 2021/22?,"£1,358,066 (£000)",number,STR
Grampian-2021-2022,Q_2022_STR_04,How many people participated in the public engagement exercise that shaped the NHS Grampian Plan for the Future?,"Over 2,100 people living in Grampian",number,STR
Grampian-2021-2022,Q_2022_AE_P1,By what percentage did A&E attendances increase in March 2022 compared to March 2021?,37% increase over March 2021,number,MOD
Grampian-2021-2022,Q_2022_IJB_02,What were Aberdeen City IJB's retained reserves at year end 2021/22?,£51.392 million,number,LEX
Grampian-2021-2022,Q_2022_GOPES_01,What is the Grampian Operational Pressure Escalation System (G-OPES)?,"G-OPES is a system-wide escalation model linked to portfolio leadership to manage winter pressures and surge, developed as part of the new portfolio and system leadership management model",text,STR
Grampian-2021-2022,Q_2022_FIN_08,What was the increase in Staff Costs in 2021/22 compared to 2020/21?,£46.5 million increase,number,LEX
Grampian-2021-2022,Q_2022_FIN_P2,What was the principal cause of the increase in staff costs in 2021/22?,Annual pay uplift of £33.4 million,text,MOD
Grampian-2022-2023,Q_2023_FIN_15,What was the COVID-19 Test and Protect expenditure in 2022/23?,£3.97 million,number,LEX
Grampian-2022-2023,Q_2023_FIN_14,What was the total COVID-19 expenditure reported by NHS Grampian in 2022/23?,£41.04 million total (£23.06 million NHS Grampian; £17.97 million IJBs),number,LEX
Grampian-2022-2023,Q_2023_FIN_P2,By how much did drugs and medical supplies increase in 2022/23 and what drove this?,"Increased by £21 million due to volume and price increases across primary and secondary care, partly offset by £6.5 million reduction in COVID medical supply spend",text,MOD
Grampian-2022-2023,Q_2023_FIN_02,What was the actual Core Revenue Resource outturn in 2022/23?,"£1,291,879 (£000)",number,LEX
Grampian-2022-2023,Q_2023_FIN_16,What was the COVID-19 vaccination expenditure in 2022/23?,£9.96 million,number,LEX
Grampian-2022-2023,Q_2023_FIN_07,By how much did NHS Grampian's total spending on health and care services grow between 2021/22 and 2022/23?,"£1,443 million",number,STR
Grampian-2022-2023,Q_2023_FIN_10,By how much did Staff Costs increase in 2022/23?,"£54.7 million (average pay uplift 4.5% Medical & Dental, 7.5% Agenda for Change)",number,LEX
Grampian-2022-2023,Q_2023_IJB_07,By how much did the contribution to IJBs reduce in 2022/23 compared to 2021/22?,Reduced by £81.5 million following changes in public health policies related to COVID and return of reserves to Scottish Government,number,LEX
Grampian-2022-2023,Q_2023_FIN_09,What was the total COVID-19 expenditure across NHS Grampian and its IJBs in 2022/23?,"£41.04 million total (£23.06 million NHS Grampian, £17.97 million IJBs)",number,LEX
Grampian-2022-2023,Q_2023_FIN_04,What was the approved cash financing requirement for NHS Grampian in 2022/23?,"£1,546,903 (£000)",number,MOD
Grampian-2023-2024,Q_2024_DEL_01,When was the Delivery Plan 2023-2026 adopted by the NHS Grampian Board?,Adopted by the Board in August 2023,text,LEX
Grampian-2023-2024,Q_2024_ESC_03,What risk-based approach did the Chief Executive Team implement to manage the financial challenge in 2023/24?,"A risk-based approach achieving balance between financial position, clinical governance, staff wellbeing, and prevention",text,MOD
Grampian-2023-2024,Q_2024_FIN_12,What was the total income and expenditure for NHS Grampian Charity in 2023/24?,Total income: £3.905 million; total expenditure: £3.359 million,number,MOD
Grampian-2023-2024,Q_2024_FIN_14,What was the net expenditure figure in Note 2A Summary of Core Revenue Resource Outturn for 2023/24?,"£1,583,114 thousand",number,STR
Grampian-2023-2024,Q_2024_DEL_03,What are the three strategic objectives in NHS Grampian's Delivery Plan 2023-2026?,1. Strengthen colleague and citizen engagement to improve health (People); 2. Create the conditions for sustainable change (Places); 3. Improve preventative and timely access to care (Pathways),text,LEX
Grampian-2023-2024,Q_2024_GOV_04,What was the average credit taken for invoice payment in 2023/24?,14 days (2022/23: 15 days),number,LEX
Grampian-2023-2024,Q_2024_FIN_06,What share of the total revenue resource ceiling related to non-core technical accounting items in 2023/24?,"Limit: £1,489,048 thousand; Actual: £1,488,951 thousand",number,STR
Grampian-2023-2024,Q_2024_IJB_03,What deficit did Moray IJB report in 2023/24 and what were its retained reserves?,Deficit of £2.659 million; retained reserves £2.024 million,number,LEX
Grampian-2023-2024,Q_2024_FIN_01,What was the Core Revenue Resource Limit for NHS Grampian in 2023/24?,"£1,440,632 thousand",number,LEX
Grampian-2023-2024,Q_2024_FIN_02,What gap existed between the resource ceiling and actual spend on core NHS Grampian services in 2023/24?,"£1,440,535 thousand",number,STR
Grampian-2024-2025,Q_2025_FIN_02,How much did NHS Grampian actually spend against its core resource budget in 2024/25?,"£1,559,032 (£000)",number,MOD
Grampian-2024-2025,Q_2025_FIN_P3,"What additional cost pressures emerged in 2024/25 beyond the financial plan, and how did they affect the underlying deficit?","£22.8 million in cost pressures (£21.4 million from additional IJB contributions) increased the underlying deficit to £64.9 million, while Scottish Government confirmed additional funding of £17 million",text,STR
Grampian-2024-2025,Q_2025_FIN_06,What fraction of the core resource allocation did NHS Grampian's structural financial shortfall represent in 2024/25?,4.17%,number,STR
Grampian-2024-2025,Q_2025_FIN_09,By how much did net expenditure increase compared to 2023/24?,"£116 million (from £1,565 million in 2023/24)",number,LEX
Grampian-2024-2025,Q_2025_FIN_10,What approved capital expenditure envelope was NHS Grampian operating within for infrastructure and equipment investment in 2024/25?,"£86,909 (£000)",number,STR
Grampian-2024-2025,Q_2025_AE_P1,How did A&E attendance volumes change in 2024/25 compared to 2023/24?,"Decreased by 1.8% (from approximately 124,572 in 2023/24 to 122,330 in 2024/25)",text,MOD
Grampian-2024-2025,Q_2025_PLAN_01,Did the 2025/26 financial plan present a break-even position?,"No; the plan does not present a break-even position, recognising the significant work to be undertaken to bring the Board back into sustainable financial balance",text,STR
Grampian-2024-2025,Q_2025_STR_01,What is the period covered by the NHS Grampian Delivery Plan adopted in June 2024?,April 2024 to March 2027 (three years),text,LEX
Grampian-2024-2025,Q_2025_IJB_04,What deficit did Moray IJB report for 2024/25?,£4.143 million,number,LEX
Grampian-2024-2025,Q_2025_DEL_03,What percentage of deliverables were subject to minor delay at the end of Q4 2024/25?,38%,number,LEX
