query_id,top1_score,top2_score,margin
Q_2025_AE_01,0.6444379091262817,0.6068688035011292,0.03756910562515259
Q_2025_AE_02,0.5862131118774414,0.5768799781799316,0.009333133697509766
Q_2025_AE_03,0.5744662284851074,0.5645864605903625,0.009879767894744873
Q_2025_AE_04,0.5790914297103882,0.567258358001709,0.0118330717086792
Q_2025_AE_P1,0.484641432762146,0.4124819636344909,0.07215946912765508
Q_2025_DEL_01,0.4380502998828888,0.4027782082557678,0.03527209162712097
Q_2025_DEL_02,0.3826675713062286,0.3600938618183136,0.022573709487914984
Q_2025_DEL_03,0.4299240112304687,0.3921509087085724,0.03777310252189631
Q_2025_DEL_04,0.4342635869979858,0.4132360816001892,0.021027505397796575
Q_2025_DEL_P1,0.7189794182777405,0.677219808101654,0.041759610176086426
Q_2025_ESC_01,0.743396520614624,0.707768440246582,0.03562808036804199
Q_2025_ESC_02,0.6388022899627686,0.6300549507141113,0.008747339248657227
Q_2025_ESC_P1,0.6308273077011108,0.6296881437301636,0.0011391639709472656
Q_2025_ESC_P2,0.6316578388214111,0.6078088283538818,0.023849010467529297
Q_2025_FIN_01,0.7554624080657959,0.7049553990364075,0.05050700902938843
Q_2025_FIN_02,0.7157605886459351,0.6393500566482544,0.07641053199768066
Q_2025_FIN_03,0.7193096876144409,0.6865848302841187,0.032724857330322266
Q_2025_FIN_04,0.6414484977722168,0.5946521759033203,0.046796321868896484
Q_2025_FIN_05,0.5362774729728699,0.5163058638572693,0.019971609115600586
Q_2025_FIN_06,0.6781007647514343,0.6563977003097534,0.021703064441680908
Q_2025_FIN_07,0.7544680833816528,0.5625465512275696,0.19192153215408325
Q_2025_FIN_08,0.6292529702186584,0.6272940039634705,0.0019589662551879883
Q_2025_FIN_09,0.5435264110565186,0.4878537356853485,0.055672675371170044
Q_2025_FIN_10,0.6266859769821167,0.6266486644744873,3.731250762939453e-05
Q_2025_FIN_11,0.5691264867782593,0.5688565373420715,0.00026994943618774414
Q_2025_FIN_12,0.5696064829826355,0.5378544926643372,0.03175199031829834
Q_2025_FIN_13,0.6070422530174255,0.6002583503723145,0.006783902645111084
Q_2025_FIN_17,0.5691264867782593,0.5688565373420715,0.00026994943618774414
Q_2025_FIN_18,0.6379402279853821,0.5460841655731201,0.09185606241226196
Q_2025_FIN_P1,0.724567174911499,0.7142117619514465,0.01035541296005249
Q_2025_FIN_P2,0.5231010913848877,0.4862044751644134,0.0368966162204743
Q_2025_FIN_P3,0.4938655495643616,0.4884510040283203,0.00541454553604126
Q_2025_GOPES_01,0.5873098969459534,0.4233130514621734,0.16399684548377996
Q_2025_GOV_01,0.6873534917831421,0.6838785409927368,0.0034749507904052734
Q_2025_GOV_02,0.3604816496372223,0.3276688158512115,0.0328128337860108
Q_2025_IJB_01,0.6948522925376892,0.6700973510742188,0.02475494146347046
Q_2025_IJB_02,0.6704595685005188,0.5488793849945068,0.12158018350601196
Q_2025_IJB_03,0.6476289629936218,0.5980523824691772,0.04957658052444458
Q_2025_IJB_04,0.5938590168952942,0.541368842124939,0.052490174770355225
Q_2025_IJB_05,0.7389413714408875,0.6784607172012329,0.06048065423965454
Q_2025_IJB_06,0.5755628347396851,0.5617198944091797,0.013842940330505371
Q_2025_IJB_P1,0.6912834048271179,0.6904382109642029,0.0008451938629150391
Q_2025_PLAN_01,0.483327567577362,0.4696123301982879,0.013715237379074097
Q_2025_SAV_01,0.6277730464935303,0.6252244114875793,0.0025486350059509277
Q_2025_SAV_02,0.6504974961280823,0.6471503376960754,0.003347158432006836
Q_2025_SAV_03,0.4289863705635071,0.4164812266826629,0.012505143880844172
Q_2025_SAV_04,0.4943354427814483,0.4457339644432068,0.04860147833824152
Q_2025_SAV_P1,0.4448030889034271,0.4335946440696716,0.011208444833755549
Q_2025_SAV_P2,0.6959847211837769,0.6669232249259949,0.029061496257781982
Q_2025_STR_01,0.6699602007865906,0.6317823529243469,0.03817784786224365
