doc_id,chunk_count,token_count
Grampian-2004-2005,87,39768
Grampian-2005-2006,95,37900
Grampian-2010-2011,165,41474
Grampian-2014-2015,185,51886
Grampian-2016-2017,244,62924
Grampian-2017-2018,259,107860
Grampian-2018-2019,295,73564
Grampian-2019-2020,285,112490
Grampian-2020-2021,305,116582
Grampian-2021-2022,336,123554
Grampian-2022-2023,318,94764
Grampian-2023-2024,333,132817
Grampian-2024-2025,356,136390
Shetland-2015-2016,186,48347
Shetland-2016-2017,205,49956
Shetland-2017-2018,189,75650
Shetland-2018-2019,191,78574
Shetland-2019-2020,223,85037
Shetland-2020-2021,265,98503
Shetland-2021-2022,275,102375
Shetland-2022-2023,276,102346
Shetland-2023-2024,262,101167
Shetland-2024-2025,279,101278
